datetime,date,hour,total emojis,average emojis,total score,average scores,average body length
2013-02-08T07,2013-02-08,07,9721,1.6622777017783859,36702,6.275991792065663,181.3014705882353
2013-02-28T06,2013-02-28,06,8469,1.4312996450904174,40639,6.868176440763901,175.20449552137907
2013-02-17T00,2013-02-17,00,3108,1.6531914893617021,8334,4.432978723404255,163.27446808510638
2013-02-22T16,2013-02-22,16,6323,1.3499146029035012,31986,6.828778821520069,166.66268146883007
2013-02-27T16,2013-02-27,16,6509,1.4477313167259787,21799,4.848532028469751,159.5487099644128
2013-02-01T20,2013-02-01,20,2923,1.6069268829026937,6813,3.7454645409565694,177.06157229246838
2013-02-26T15,2013-02-26,15,7385,1.342971449354428,32102,5.837788688852519,151.1272958719767
2013-02-02T23,2013-02-02,23,2227,1.4758117958913188,5168,3.4247846255798544,161.37773359840955
2013-02-05T15,2013-02-05,15,6216,1.1869390872637007,28258,5.395837311437846,149.52530074470116
2013-02-17T03,2013-02-17,03,4845,1.2683246073298429,25369,6.64109947643979,158.43979057591622
2013-02-15T20,2013-02-15,20,4182,2.2965403624382206,6991,3.839099395936299,172.11092806150467
2013-02-26T01,2013-02-26,01,5208,1.6059204440333026,27330,8.427382053654025,187.39562133826703
2013-02-09T12,2013-02-09,12,6632,1.372232567763294,41280,8.541278708876474,151.9631698737844
2013-02-12T02,2013-02-12,02,6007,1.3345923128193735,26643,5.919351255276605,158.87736058653633
2013-02-03T14,2013-02-03,14,5303,1.2569329224934818,21745,5.154064944299597,151.87011140080588
2013-02-20T05,2013-02-20,05,8647,1.4743393009377663,31250,5.328218243819267,181.2613810741688
2013-02-09T19,2013-02-09,19,3102,1.4367762853172765,16693,7.731820287169986,171.59703566465956
2013-02-20T00,2013-02-20,00,4012,1.4211831385051363,14599,5.171448813319164,181.02479631597592
2013-02-14T22,2013-02-14,22,2988,1.6247960848287113,6420,3.4910277324632952,163.89777052746058
2013-02-02T17,2013-02-02,17,4788,1.4755007704160246,15431,4.755315870570108,159.00677966101694
2013-02-23T13,2013-02-23,13,5718,1.3190311418685121,16900,3.898500576701269,149.03575547866205
2013-02-05T10,2013-02-05,10,6513,1.2391552511415524,28380,5.399543378995434,161.98173515981736
2013-02-09T09,2013-02-09,09,9020,1.7504366388511547,31451,6.10343489229575,170.17290898505726
2013-02-16T15,2013-02-16,15,6356,1.6062673742734395,21369,5.400303260045489,154.26560525650746
2013-02-25T03,2013-02-25,03,6030,1.580188679245283,32394,8.488993710691824,162.18134171907758
2013-02-05T08,2013-02-05,08,8487,1.4319217141893033,26469,4.465834317529947,170.92913784376583
2013-02-18T00,2013-02-18,00,2439,1.3190914007571661,11128,6.018388318009735,174.45916711736075
2013-02-08T04,2013-02-08,04,8734,1.5368643322188984,30564,5.37814534576808,178.37779341896885
2013-02-18T22,2013-02-18,22,1919,1.1361752516281824,8328,4.930728241563055,181.80461811722913
2013-02-06T02,2013-02-06,02,6524,1.4408127208480566,27477,6.068242049469965,172.74492049469964
2013-02-07T10,2013-02-07,10,6650,1.218841642228739,29140,5.340909090909091,157.59127565982405
2013-02-12T17,2013-02-12,17,5611,1.4832143801215967,14964,3.955590800951626,152.0375363468147
2013-02-13T22,2013-02-13,22,2043,1.1621160409556315,6661,3.7889647326507396,164.39476678043232
2013-02-19T13,2013-02-19,13,7584,1.3979723502304147,29347,5.409585253456221,151.08221198156681
2013-02-02T08,2013-02-02,08,7279,1.2293531498057761,35254,5.95406181388279,160.60817429488262
2013-02-24T21,2013-02-24,21,2482,1.5060679611650485,6721,4.078276699029126,168.39138349514562
2013-02-10T23,2013-02-10,23,2382,1.5457495133030499,6839,4.438027255029202,160.14860480207656
2013-02-18T19,2013-02-18,19,3420,1.3712910986367282,9031,3.621090617481957,153.97914995990376
2013-02-27T11,2013-02-27,11,7099,1.2774878531581788,30330,5.457980924959511,160.129926219183
2013-02-25T13,2013-02-25,13,6501,1.2825014795817715,37457,7.389425922272638,148.68198855790098
2013-02-27T04,2013-02-27,04,8415,1.5609348914858097,32724,6.070116861435726,185.20868113522536
2013-02-11T22,2013-02-11,22,3226,1.7561241154055525,12144,6.610778443113772,159.01905280348393
2013-02-25T11,2013-02-25,11,5786,1.187115305703734,30983,6.356791136643414,150.33176036109973
2013-02-15T12,2013-02-15,12,6853,1.390625,26056,5.287337662337662,144.8189935064935
2013-02-13T20,2013-02-13,20,3546,1.8138107416879796,7449,3.810230179028133,174.9089514066496
2013-02-05T19,2013-02-05,19,3394,1.426649852879361,9427,3.962589323245061,171.15678856662464
2013-02-13T16,2013-02-13,16,7097,1.4100933836677925,23727,4.714285714285714,165.49175442082256
2013-02-12T03,2013-02-12,03,8569,1.6034805389221556,27136,5.077844311377246,178.17009730538922
2013-02-14T03,2013-02-14,03,8370,1.6312609627752874,31877,6.212629117131163,191.00058468134867
